2023-05-18 18:15:05,353 | DEBUG:Latencia: 0.4984130859375 | MainThread | sync_time | 39|
2023-05-18 18:15:05,353 | DEBUG:Obteniendo tiempo actual... | MainThread | get_time | 25|
2023-05-18 18:15:05,353 | DEBUG:Tiempo actual: 1684455305353.207 | MainThread | sync_time | 42|
2023-05-18 18:15:05,354 | DEBUG:Tiempo sincronizado del servidor 192.168.1.183:3317: 1684455305353.207 | MainThread | <module> | 57|
2023-05-18 18:15:05,354 | DEBUG:Tiempo sincronizado del servidor 192.168.1.183:3317: 2023-05-18 18:15:05 | MainThread | <module> | 59|
2023-05-18 18:15:05,354 | DEBUG:Sincronizando tiempo con servidor 192.168.1.183:3318... | MainThread | <module> | 53|
2023-05-18 18:15:05,354 | DEBUG:Conectando con 192.168.1.183:3318... | MainThread | <module> | 55|
2023-05-18 18:15:05,354 | DEBUG:Conectando con 192.168.1.183:3318... | MainThread | sync_time | 31|
2023-05-18 18:15:05,356 | DEBUG:Tiempo del servidor: 1684455305355.7002 | MainThread | sync_time | 35|
2023-05-18 18:15:05,356 | DEBUG:Obteniendo tiempo actual... | MainThread | get_time | 25|
2023-05-18 18:15:05,356 | DEBUG:Latencia: 0.51806640625 | MainThread | sync_time | 39|
2023-05-18 18:15:05,356 | DEBUG:Obteniendo tiempo actual... | MainThread | get_time | 25|
2023-05-18 18:15:05,356 | DEBUG:Tiempo actual: 1684455305356.2183 | MainThread | sync_time | 42|
2023-05-18 18:15:05,356 | DEBUG:Tiempo sincronizado del servidor 192.168.1.183:3318: 1684455305356.2183 | MainThread | <module> | 57|
2023-05-18 18:15:05,356 | DEBUG:Tiempo sincronizado del servidor 192.168.1.183:3318: 2023-05-18 18:15:05 | MainThread | <module> | 59|
2023-05-18 18:15:05,356 | DEBUG:Sincronizando tiempo con servidor 192.168.1.183:3319... | MainThread | <module> | 53|
2023-05-18 18:15:05,356 | DEBUG:Conectando con 192.168.1.183:3319... | MainThread | <module> | 55|
2023-05-18 18:15:05,356 | DEBUG:Conectando con 192.168.1.183:3319... | MainThread | sync_time | 31|
2023-05-18 18:15:05,358 | DEBUG:Tiempo del servidor: 1684455305357.7278 | MainThread | sync_time | 35|
2023-05-18 18:15:05,358 | DEBUG:Obteniendo tiempo actual... | MainThread | get_time | 25|
2023-05-18 18:15:05,358 | DEBUG:Latencia: 0.4964599609375 | MainThread | sync_time | 39|
2023-05-18 18:15:05,358 | DEBUG:Obteniendo tiempo actual... | MainThread | get_time | 25|
2023-05-18 18:15:05,358 | DEBUG:Tiempo actual: 1684455305358.224 | MainThread | sync_time | 42|
2023-05-18 18:15:05,358 | DEBUG:Tiempo sincronizado del servidor 192.168.1.183:3319: 1684455305358.224 | MainThread | <module> | 57|
2023-05-18 18:15:05,358 | DEBUG:Tiempo sincronizado del servidor 192.168.1.183:3319: 2023-05-18 18:15:05 | MainThread | <module> | 59|
